file,status,rows
Kenya_KR_1988.dta,ok,6980
Kenya_KR_1998.dta,ok,6115
Kenya_KR_1999.dta,ok,3531
Kenya_KR_2008.dta,ok,5949
Kenya_KR_2010.dta,ok,6079
Kenya_KR_72.dta,ok,20964
Kenya_KR_2022.dta,ok,19530
Tanzania_KR_1996.dta,ok,8138
Tanzania_KR_1999.dta,ok,6789
Tanzania_KR_2005.dta,ok,3215
Tanzania_KR_2007.dta,ok,8564
Tanzania_KR_2013.dta,ok,8023
Tanzania_KR_2018.dta,ok,10233
Tanzania_KR_2023.dta,ok,10783
Uganda_KR_1988.dta,ok,4959
Uganda_KR_2000.dta,ok,5756
Uganda_KR_2005.dta,ok,7113
Uganda_KR_2010.dta,ok,8369
Uganda_KR_2011.dta,ok,7878
Uganda_KR_2018.dta,ok,15522
