folder,num_files,examples
ETKR41DT,4,"ETKR41FL.DTA, ETKR41FL.FRQ, ETKR41FL.FRW, ETKR41FL.MAP"
ETKR51DT,4,"ETKR51FL.DTA, ETKR51FL.FRQ, ETKR51FL.FRW, ETKR51FL.MAP"
ETKR61DT,4,"ETKR61FL.DTA, ETKR61FL.FRQ, ETKR61FL.FRW, ETKR61FL.MAP"
ETKR71DT,6,"ETKR71FL.DCT, ETKR71FL.DO, ETKR71FL.DTA, ETKR71FL.FRQ, ETKR71FL.FRW"
ETKR81DT,6,"ETKR81FL.DCT, ETKR81FL.DO, ETKR81FL.DTA, ETKR81FL.FRQ, ETKR81FL.FRW"
KEKR01DT,5,"KEKR01FL.DOC, KEKR01FL.DTA, KEKR01FL.FRQ, KEKR01FL.FRW, KEKR01FL.MAP"
KEKR31DT,5,"KEKR31FL.DOC, KEKR31FL.DTA, KEKR31FL.FRQ, KEKR31FL.FRW, KEKR31FL.MAP"
KEKR3ADT,4,"KEKR3AFL.DTA, KEKR3AFL.FRQ, KEKR3AFL.FRW, KEKR3AFL.MAP"
KEKR42DT,4,"KEKR42FL.DTA, KEKR42FL.FRQ, KEKR42FL.FRW, KEKR42FL.MAP"
KEKR52DT,4,"KEKR52FL.DTA, KEKR52FL.FRQ, KEKR52FL.FRW, KEKR52FL.MAP"
KEKR72DT,6,"KEKR72FL.DCT, KEKR72FL.DO, KEKR72FL.DTA, KEKR72FL.FRQ, KEKR72FL.FRW"
KEKR8CDT,6,"KEKR8CFL.DCT, KEKR8CFL.DO, KEKR8CFL.DTA, KEKR8CFL.FRQ, KEKR8CFL.FRW"
TZKR21DT,5,"TZKR21FL.DOC, TZKR21FL.DTA, TZKR21FL.FRQ, TZKR21FL.FRW, TZKR21FL.MAP"
TZKR3ADT,5,"TZKR3AFL.DOC, TZKR3AFL.DTA, TZKR3AFL.FRQ, TZKR3AFL.FRW, TZKR3AFL.MAP"
TZKR41DT,4,"TZKR41FL.DTA, TZKR41FL.FRQ, TZKR41FL.FRW, TZKR41FL.MAP"
TZKR4IDT,4,"TZKR4IFL.DTA, TZKR4IFL.FRQ, TZKR4IFL.FRW, TZKR4IFL.MAP"
TZKR63DT,6,"TZKR63FL.DCT, TZKR63FL.DO, TZKR63FL.DTA, TZKR63FL.FRQ, TZKR63FL.FRW"
TZKR7BDT,6,"TZKR7BFL.DCT, TZKR7BFL.DO, TZKR7BFL.DTA, TZKR7BFL.FRQ, TZKR7BFL.FRW"
TZKR82DT,6,"TZKR82FL.DCT, TZKR82FL.DO, TZKR82FL.DTA, TZKR82FL.FRQ, TZKR82FL.FRW"
UGKR01DT,5,"UGKR01FL.DOC, UGKR01FL.DTA, UGKR01FL.FRQ, UGKR01FL.FRW, UGKR01FL.MAP"
UGKR33DT,4,"UGKR33FL.DTA, UGKR33FL.FRQ, UGKR33FL.FRW, UGKR33FL.MAP"
UGKR41DT,4,"UGKR41FL.DTA, UGKR41FL.FRQ, UGKR41FL.FRW, UGKR41FL.MAP"
UGKR52DT,4,"UGKR52FL.DTA, UGKR52FL.FRQ, UGKR52FL.FRW, UGKR52FL.MAP"
UGKR61DT,6,"UGKR61FL.DCT, UGKR61FL.DO, UGKR61FL.DTA, UGKR61FL.FRQ, UGKR61FL.FRW"
UGKR7BDT,6,"UGKR7BFL.DCT, UGKR7BFL.DO, UGKR7BFL.DTA, UGKR7BFL.FRQ, UGKR7BFL.FRW"
